feature_type,stream_group,stream_source,stream_family,sampling,detector,time_window,time_window_code,time_window_name,drift_score,matched_event,delay_days,is_true_positive
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-01,D,daily,0.6302374631262462,,,False
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-12,D,daily,0.5097459599651858,,,False
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2024-12-19,D,daily,0.6471133575781653,,,False
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-01-01,D,daily,0.4432588164960296,,,False
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,KSWIN,2025-01-12,D,daily,0.31154308004092135,,,False
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-01-13,D,daily,0.714896369296002,Trump inauguration,-7.0,True
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-01-27,D,daily,0.640434312429054,Trump inauguration,7.0,True
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,KSWIN,2025-02-07,D,daily,0.37839206608459974,,,False
embedding,mixed_split_minority_day_daily,mixed_split_minority_day,mixed,split_minority_day,PageHinkley,2025-02-09,D,daily,0.6126904640196352,,,False
embedding,right_none_daily,right_none,right,none,PageHinkley,2024-02-12,D,daily,0.4338191382378537,,,False
embedding,right_none_daily,right_none,right,none,PageHinkley,2024-02-20,D,daily,0.5635208145499466,,,False
embedding,right_none_daily,right_none,right,none,PageHinkley,2024-02-27,D,daily,0.6409896942746804,Start of campaign,-7.0,True
embedding,right_none_daily,right_none,right,none,PageHinkley,2024-03-11,D,daily,0.505164426367106,Start of campaign,6.0,True
embedding,right_none_daily,right_none,right,none,PageHinkley,2024-03-30,D,daily,0.674628634450032,,,False
embedding,right_none_daily,right_none,right,none,PageHinkley,2024-04-05,D,daily,0.5590423503495656,,,False
