time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-04-29,174,20,154,"0,1",2024-04-29 00:00:00,2024-05-05 21:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-05-06,97,16,81,"0,1",2024-05-06 00:15:00,2024-05-12 23:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-05-13,104,11,93,"0,1",2024-05-13 14:00:00,2024-05-19 23:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-05-20,78,8,70,"0,1",2024-05-20 15:00:00,2024-05-26 23:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-05-27,146,10,136,"0,1",2024-05-27 04:15:00,2024-06-02 23:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-06-03,86,15,71,"0,1",2024-06-03 03:15:00,2024-06-09 23:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-06-10,111,19,92,"0,1",2024-06-10 02:45:00,2024-06-16 22:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-06-17,96,12,84,"0,1",2024-06-17 11:00:00,2024-06-23 23:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-06-24,135,15,120,"0,1",2024-06-24 01:00:00,2024-06-30 22:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-07-01,127,14,113,"0,1",2024-07-01 01:00:00,2024-07-07 21:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-07-08,119,17,102,"0,1",2024-07-08 00:00:00,2024-07-14 23:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-07-15,130,24,106,"0,1",2024-07-15 20:00:00,2024-07-21 23:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-07-22,116,14,102,"0,1",2024-07-22 00:45:00,2024-07-28 20:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-07-29,183,16,167,"0,1",2024-07-29 01:00:00,2024-08-04 21:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-08-05,82,14,68,"0,1",2024-08-05 10:45:00,2024-08-11 19:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-08-12,127,18,109,"0,1",2024-08-12 13:30:00,2024-08-18 23:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-08-19,141,23,118,"0,1",2024-08-19 01:45:00,2024-08-25 23:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-08-26,168,15,153,"0,1",2024-08-26 00:00:00,2024-09-01 22:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-09-02,119,22,97,"0,1",2024-09-02 00:30:00,2024-09-08 22:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-09-09,126,21,105,"0,1",2024-09-09 05:30:00,2024-09-15 23:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-09-16,119,14,105,"0,1",2024-09-16 10:45:00,2024-09-22 22:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-09-23,136,25,111,"0,1",2024-09-23 12:45:00,2024-09-29 22:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-09-30,164,12,152,"0,1",2024-09-30 00:15:00,2024-10-06 22:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-10-07,132,19,113,"0,1",2024-10-07 00:45:00,2024-10-13 23:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-10-14,108,12,96,"0,1",2024-10-14 04:00:00,2024-10-20 22:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-10-21,119,29,90,"0,1",2024-10-21 00:00:00,2024-10-27 21:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-10-28,160,18,142,"0,1",2024-10-28 01:30:00,2024-11-03 23:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-11-04,131,16,115,"0,1",2024-11-04 00:00:00,2024-11-10 23:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-11-11,77,21,56,"0,1",2024-11-11 15:45:00,2024-11-17 23:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-11-18,114,15,99,"0,1",2024-11-18 06:45:00,2024-11-24 19:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-11-25,136,18,118,"0,1",2024-11-25 00:00:00,2024-12-01 22:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-12-02,104,14,90,"0,1",2024-12-02 15:15:00,2024-12-08 23:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
