time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-10-14,192,96,96,"0,1",2024-10-14 04:00:00,2024-10-20 22:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-10-21,192,96,96,"0,1",2024-10-21 00:00:00,2024-10-27 21:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-10-28,246,123,123,"0,1",2024-10-28 01:30:00,2024-11-03 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-11-04,184,92,92,"0,1",2024-11-04 00:00:00,2024-11-09 17:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-11-11,90,45,45,"0,1",2024-11-13 00:30:00,2024-11-17 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-11-18,174,87,87,"0,1",2024-11-18 06:45:00,2024-11-24 19:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-11-25,200,100,100,"0,1",2024-11-25 00:00:00,2024-12-01 22:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-12-02,138,69,69,"0,1",2024-12-03 00:45:00,2024-12-08 23:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-12-09,100,50,50,"0,1",2024-12-09 00:00:00,2024-12-15 22:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-12-16,180,90,90,"0,1",2024-12-16 00:30:00,2024-12-21 22:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-12-23,58,29,29,"0,1",2024-12-23 10:15:00,2024-12-27 21:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2024-12-30,136,68,68,"0,1",2024-12-30 00:45:00,2025-01-05 20:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-01-06,166,83,83,"0,1",2025-01-06 18:30:00,2025-01-12 18:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-01-13,172,86,86,"0,1",2025-01-13 12:45:00,2025-01-19 20:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-01-20,234,117,117,"0,1",2025-01-20 14:30:00,2025-01-26 22:00:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-01-27,190,95,95,"0,1",2025-01-27 03:00:00,2025-01-31 19:45:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-02-03,222,111,111,"0,1",2025-02-03 00:00:00,2025-02-09 23:30:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-02-10,112,56,56,"0,1",2025-02-10 12:00:00,2025-02-15 17:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
2025-02-17,64,32,32,"0,1",2025-02-17 16:30:00,2025-02-19 23:15:00,mixed_split_minority_day,mixed_split_minority_day_weekly,W,weekly,mixed,split_minority_day
