stream_group,detector,time_window,drift_score,matched_event,delay_days,is_true_positive
left,KSWIN,2024-08-01,0.9609749913215637,Harris becomes Democratic nominee,-4.0,True
left,KSWIN,2024-09-23,0.8723210096359253,,,False
mixed,KSWIN,2024-11-08,0.622286319732666,US presidential election,3.0,True
mixed,KSWIN,2024-12-17,0.6726245880126953,,,False
mixed,KSWIN,2025-01-23,0.6737419366836548,Trump inauguration,3.0,True
right,KSWIN,2024-10-17,0.9421086311340332,,,False
