stream_group,detector,time_window,drift_score,matched_event,delay_days,is_true_positive
mixed,KSWIN,2024-11-08,0.622286319732666,US presidential election,3.0,True
mixed,KSWIN,2024-12-17,0.6726245880126953,,,False
mixed,KSWIN,2025-01-23,0.6737419366836548,Trump inauguration,3.0,True
