stream_group,time_window,drift_score,n_articles
mixed,2024-03-22,0.6782359480857849,6
mixed,2024-03-29,0.8924031257629395,9
mixed,2024-03-30,0.7946301698684692,7
mixed,2024-04-01,0.7378581166267395,10
mixed,2024-04-02,0.7513158321380615,9
mixed,2024-04-04,0.745637834072113,9
mixed,2024-04-05,0.8320071697235107,5
mixed,2024-04-08,0.6524319648742676,7
mixed,2024-04-09,0.7932045459747314,5
mixed,2024-04-10,0.6945282220840454,9
mixed,2024-04-11,0.7904199361801147,6
mixed,2024-04-15,0.7140130996704102,6
mixed,2024-04-24,0.676716148853302,11
mixed,2024-04-25,0.9209820628166199,7
mixed,2024-04-29,0.8972228169441223,5
mixed,2024-04-30,0.7145904302597046,12
mixed,2024-05-01,0.6268424987792969,9
mixed,2024-05-02,0.9446759223937988,5
mixed,2024-05-03,0.9027749300003052,8
mixed,2024-05-08,0.7564280033111572,6
mixed,2024-05-10,0.8120652437210083,6
mixed,2024-05-12,0.8393328189849854,7
mixed,2024-05-15,0.8925855159759521,9
mixed,2024-05-16,0.7477093935012817,8
mixed,2024-05-20,0.7623528242111206,8
mixed,2024-05-22,0.6172983646392822,6
mixed,2024-05-26,0.9650154113769531,5
mixed,2024-05-28,1.0450910329818726,9
mixed,2024-05-30,0.9189174771308899,5
mixed,2024-06-01,0.7081385254859924,9
mixed,2024-06-02,0.6213868260383606,6
mixed,2024-06-03,0.9370737075805664,5
mixed,2024-06-04,0.8066052198410034,6
mixed,2024-06-05,0.83171546459198,5
mixed,2024-06-07,0.920860767364502,7
mixed,2024-06-09,0.6402320265769958,6
mixed,2024-06-11,0.9158298373222351,7
mixed,2024-06-12,0.7426459789276123,5
mixed,2024-06-13,0.8604201674461365,6
mixed,2024-06-14,0.8775677680969238,6
mixed,2024-06-16,0.6884807348251343,5
mixed,2024-06-18,0.8619275093078613,6
mixed,2024-06-19,0.8587137460708618,6
mixed,2024-06-20,0.651766300201416,5
mixed,2024-06-21,0.5723443031311035,6
mixed,2024-06-24,0.7958285808563232,5
mixed,2024-06-25,1.0517244338989258,5
mixed,2024-06-26,0.8674257397651672,5
mixed,2024-06-28,0.6431607007980347,11
mixed,2024-07-01,0.533774733543396,14
mixed,2024-07-02,0.4041200876235962,12
mixed,2024-07-03,0.7922637462615967,6
mixed,2024-07-08,0.8918701410293579,8
mixed,2024-07-10,0.8263070583343506,5
mixed,2024-07-11,0.6317617893218994,8
mixed,2024-07-16,0.6745626926422119,6
mixed,2024-07-17,0.8744049668312073,12
mixed,2024-07-18,0.5444106459617615,13
mixed,2024-07-20,0.6393071413040161,5
mixed,2024-07-23,0.9809057116508484,7
mixed,2024-07-25,0.9507360458374023,5
mixed,2024-07-26,0.8927101492881775,5
mixed,2024-07-27,0.7661795616149902,5
mixed,2024-07-30,0.8065410256385803,6
mixed,2024-08-01,0.8839170932769775,17
mixed,2024-08-02,0.8249233961105347,11
mixed,2024-08-06,0.860438346862793,5
mixed,2024-08-07,0.8082166314125061,5
mixed,2024-08-13,1.0458214282989502,11
mixed,2024-08-14,0.7401875257492065,6
mixed,2024-08-15,0.8592664003372192,6
mixed,2024-08-16,0.8777068853378296,6
mixed,2024-08-19,0.776264488697052,6
mixed,2024-08-21,0.8625212907791138,12
mixed,2024-08-22,0.5286073684692383,10
mixed,2024-08-23,0.7112810611724854,5
mixed,2024-08-24,0.8709890842437744,5
mixed,2024-08-25,0.7400714159011841,6
mixed,2024-08-27,0.7007243633270264,13
mixed,2024-08-28,0.729661226272583,9
mixed,2024-08-30,0.6963558197021484,8
mixed,2024-08-31,0.7420192956924438,5
mixed,2024-09-01,0.7320910096168518,9
mixed,2024-09-02,0.7928735017776489,5
mixed,2024-09-03,0.7937327027320862,5
mixed,2024-09-04,0.8222728371620178,13
mixed,2024-09-05,0.6211733222007751,7
mixed,2024-09-06,0.56863933801651,8
mixed,2024-09-10,0.9070662260055542,6
mixed,2024-09-11,0.6775384545326233,6
mixed,2024-09-12,0.8064554929733276,5
mixed,2024-09-13,0.8877489566802979,8
mixed,2024-09-15,0.9393396377563477,5
mixed,2024-09-16,0.6595686078071594,6
mixed,2024-09-17,0.6085913181304932,9
mixed,2024-09-19,0.7073261737823486,8
mixed,2024-09-20,0.8895493745803833,8
mixed,2024-09-23,0.8723210096359253,10
mixed,2024-09-25,0.7101218700408936,16
mixed,2024-09-27,0.8595626354217529,11
mixed,2024-09-29,0.640110969543457,5
mixed,2024-09-30,0.6348809003829956,6
mixed,2024-10-01,0.8392622470855713,10
mixed,2024-10-04,0.7152932286262512,6
mixed,2024-10-05,0.7212501168251038,5
mixed,2024-10-07,0.7626334428787231,6
mixed,2024-10-08,0.9061241745948792,5
mixed,2024-10-09,0.8505063056945801,5
mixed,2024-10-10,0.5957555770874023,9
mixed,2024-10-11,0.7001259922981262,9
mixed,2024-10-13,0.8116931915283203,7
mixed,2024-10-17,0.9421086311340332,6
mixed,2024-10-18,0.7914044260978699,6
mixed,2024-10-20,0.9380435347557068,5
mixed,2024-10-21,0.7368854284286499,12
mixed,2024-10-23,0.6431359052658081,5
mixed,2024-10-24,0.8443283438682556,8
mixed,2024-10-25,0.8080666661262512,11
mixed,2024-10-27,0.8575248122215271,6
mixed,2024-10-28,0.9143521785736084,8
mixed,2024-10-31,0.7960259914398193,5
mixed,2024-11-01,0.8252787590026855,18
