event,event_date,event_window
Trump conviction,2024-05-30,2024-05-30
First presidential debate,2024-06-27,2024-06-27
Trump assassination attempt,2024-07-13,2024-07-13
Biden withdraws from race,2024-07-21,2024-07-21
Harris becomes Democratic nominee,2024-08-05,2024-08-05
Second presidential debate,2024-09-10,2024-09-10
Vice presidential debate,2024-10-01,2024-10-01
US presidential election,2024-11-05,2024-11-05
Trump inauguration,2025-01-20,2025-01-20
