time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-04-05,6,3,3,"0,1",2024-04-05 11:00:00,2024-04-05 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-07,6,3,3,"0,1",2024-04-07 01:15:00,2024-04-07 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-08,6,3,3,"0,1",2024-04-08 11:00:00,2024-04-08 19:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-10,6,3,3,"0,1",2024-04-10 00:30:00,2024-04-10 23:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-12,5,2,3,"0,1",2024-04-12 00:45:00,2024-04-12 18:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-16,6,3,3,"0,1",2024-04-16 08:00:00,2024-04-16 20:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-17,6,3,3,"0,1",2024-04-17 02:30:00,2024-04-17 20:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-24,6,3,3,"0,1",2024-04-24 14:45:00,2024-04-24 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-25,6,3,3,"0,1",2024-04-25 14:15:00,2024-04-25 22:00:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-26,5,2,3,"0,1",2024-04-26 00:00:00,2024-04-26 14:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-04-30,6,3,3,"0,1",2024-04-30 16:00:00,2024-04-30 23:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-05-01,6,3,3,"0,1",2024-05-01 05:00:00,2024-05-01 22:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-05-02,6,3,3,"0,1",2024-05-02 12:45:00,2024-05-02 22:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-05-03,6,3,3,"0,1",2024-05-03 08:00:00,2024-05-03 23:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-05-07,6,3,3,"0,1",2024-05-07 12:00:00,2024-05-07 19:45:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-05-08,6,3,3,"0,1",2024-05-08 01:15:00,2024-05-08 19:15:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
2024-05-10,6,3,3,"0,1",2024-05-10 00:15:00,2024-05-10 19:30:00,mixed_max3_per_class_day,mixed_max3_per_class_day_daily,D,daily,mixed,max3_per_class_day
